Column1,Unnamed: 0,cat2_slug,cat3_slug,city_slug,neighborhood_slug,created_at_month,user_type,description,title,rent_mode,rent_value,rent_to_single,rent_type,price_mode,price_value,credit_mode,credit_value,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,land_size,building_size,deed_type,has_business_deed,floor,rooms_count,total_floors_count,unit_per_floor,has_balcony,has_elevator,has_warehouse,has_parking,construction_year,is_rebuilt,has_water,has_warm_water_provider,has_electricity,has_gas,has_heating_system,has_cooling_system,has_restroom,has_security_guard,has_barbecue,building_direction,has_pool,has_jacuzzi,has_sauna,floor_material,property_type,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,location_latitude,location_longitude,location_radius
1,2,residential-rent,apartment-rent,tehran,tohid,10/1/2024 0:00,,تخلیه پایان ماه,آپارتمان ۳ خوابه ۱۳۲ متر,مقطوع,26000000,,,,,مقطوع,750000000,FALSE,FALSE,750000000,,26000000,,,132,,,3,سه,,,,TRUE,TRUE,TRUE,۱۴۰۱,FALSE,,,,,,,,,,,,,,,,,,,,,,35.70386505,51.37345886,
2,7,residential-sell,apartment-sell,tehran,dardasht,9/1/2024 0:00,مشاور املاک,"♡♡♡♡♡♡بنام خدا♡♡♡♡♡♡
♡♡♡عرض ادب واحترام♡♡♡
♡♡♡♡املاک بزرگ اریو♡♡♡♡
باافتخارازابتداتا انتهادرکنارشما
سروران عزیزوگرامی
کارشناس مشاور منطقه دهقان
اپارتمان ۱۰۰متری
۴طبقه تک واحدی
طبقه ۳و۴ فروش
فول امکانات
لوکیشن موقعیت عالی
دسترسی عالی به مترو بی ارتی وبازار روز مرکزی وفروشگاه
فروشنده صددرصد
برای اطلاعات بیشتر تماس بگیرید
       املاک اریو",اپارتمان ۱۰۰متری طبقه۳و۴ فول دردشت شمالی,,,,,مقطوع,8700000000,,,,,,,,,,100,,,4,دو,,,,TRUE,TRUE,TRUE,۱۳۹۳,,,,,,,,,,,,,,,,,,,,,,,35.7298317,51.50546646,500
5,11,residential-rent,apartment-rent,tehran,gisha,8/1/2024 0:00,مشاور املاک,"‼️‼️ارزنده ترین واحد منطقه ‼️‼️ 

✅ 91 متر با 2 خواب بزرگ     
  
✅ بسیار خوش نقشه بدون فضای پرتی  
 
✅ سالن پرده خور با پنجره های قدی

☀️ آفتاب مستقیم عالی 

✅ پاسیو (حیاط خلوت) بزرگ
 
✅ مشاعات تمیز   
  
✅ دسترسی عالی به بوستان گفتگو و حمل و نقل عمومی 
  
⬅️ تخفیف پای قرارداد 

☑️با من وفا ، مشاور تخصصی اجاره در منطقه در تماس باشید 

               ☑️ پایان جستجو شما افتخار ما☑️",گیشا / ۹۱ متر /فرعی زوج مشرف به پارک گفتگو/ ارزنده,مجانی,0,,rent_credit,,,مقطوع,1200000000,TRUE,TRUE,1200000000,800000000,0,12000000,,91,,,1,دو,5,,TRUE,FALSE,TRUE,TRUE,۱۳۸۵,TRUE,,,,,,,squat_seat,,,south,,,,,,,,,,,,35.73395157,51.3806076,500
9,16,residential-sell,plot-old,tehran,shahrak-naft-district5,7/1/2024 0:00,,"۷۰۰ متر باغ ۱۰۰ ساله،
واقع در روستای زیبای رندان،
خیابان آبشار (بهترین خیابان روستا - قسمت تهران نشین)
خارج از بافت بومی روستا،
دارای آب، برق، گاز، تلفن (برای خرید اشتراک باید اقدام شود)
بِکر و دست نخورده،
داخل بافت،
مناسب برای ساخت بومگردی و گردشگری یا رستوران یا ساخت ویلا،
(برای ساخت ویلا یا رستوران باید مراحل اداری طبق روال طی شود)
طبق نقشه ای که تصویر آن را گذاشته ام،
۲ قطعه زمین هست و از وسط آن رودخانه رد شده است،
(حریم رودخانه حفظ شده است)
فاصله از فلکه دوم شهران تا باغ، ۲۵ دقیقه،
دارای سند شورایی،
می توانید با پرداخت هزینه،
سند تک برگ دریافت کنید،
همسایه های اطراف،
سند تک برگ دریافت کرده اند،
دارای درختان ۱۰۰ ساله ی گردو، تبریزی و درخت گیلاس،
لطفاً قبل از خرید تشریف ببرید قیمت هارو دقیق از املاک روستا و املاک های اطراف سوال کنید،
بعد برای خرید تماس بگیرید،
به علّت نیاز مالی فروشنده شدم،
وگرنه نمی فروختم،
۱۰۰ ساله که مالک این باغ هستیم و از قدیمی های روستا هستیم،

<<<<< امکان تهاتر با آپارتمان یا خودرو وجود دارد >>>>>",تهاتر یا فروش باغی زیبا در روستای زیبای رندان,,,,,مقطوع,18000000000,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.89018631,51.28019714,
19,36,residential-rent,apartment-rent,tehran,majidiyeh,11/1/2024 0:00,مشاور املاک,"60 متر آپارتمان 

یک خوابه 

طبقه دوم 

بازسازی شده 

تک واحدی 

با پارکینگ 

با دسترسی عالی به مراکز خرید و مترو و اتوبان ها

با نورگیر عالی",60 متر یک خوابه,مقطوع,15000000,,rent_credit,,,مقطوع,150000000,FALSE,FALSE,150000000,,15000000,,,60,,,2,یک,,,,FALSE,FALSE,TRUE,۱۳۸۳,TRUE,,,,,,,,,,,,,,,,,,,,,,35.73590851,51.46439743,500
25,48,residential-rent,apartment-rent,tehran,west-tehranpars,7/1/2024 0:00,مشاور املاک,"✅.....املاک بزرگ تهرانپارس:سام.....✅


86 متر بهترین نقشه بدون پرتی فول امکانات

امکانات آپارتمان

✅✅بهترین لوکیشن بین فلکه دوم و سوم غربی های تهرانپارس
✅✅ساختمان 4 ساله
✅✅ پارکینگ انباری آسانسور بالکن
✅✅بهترین متریال منطقه
✅✅ساخته شده توسط بهترین سازنده به نام منطقه
✅✅بهترین متریال روز
✅✅مشاعات بسیار عالی و تمیز
✅✅مدیریت خیلی قوی
✅✅بهترین کوچه و فرعی
✅✅محلیت بسیار آرام و بی سروصدا

⚜️⚜️⚜️⚜️⚜️⚜️⚜️⚜️⚜️⚜️
امکانات واحد

⚜️⚜️فول امکانات 
⚜️⚜️1 خواب مستر
⚜️⚜️بدون پرتی و بسیار خوش نقشه
⚜️⚜️واحد نوساز کلید نخورده
⚜️⚜️پذیرایی با نقشه فوق‌العاده مناسبت سخت پسندان
⚜️⚜️بهترین نورگیری رو به آفتاب
⚜️⚜️آشپزخانه استاندارد و بزرگ و نورگیر
⚜️⚜️خوابهای بزرگ با کمد دیواری عمیق‌ و عریض 
⚜️⚜️قابلیت جاگذاری تخت 2 نفره در هر اتاق



✔️ملک کارشناسی شده و به قیمت رسیده شده✔️
_________________________________________
املاک بزرگ سام تهرانپارس 
مشاوره رایگان در امور ملکی : ملک",86متر*2خواب*کلید نخورده*فول*بهترین لوکیشن,مجانی,0,,rent_credit,,,مقطوع,1500000000,TRUE,TRUE,1500000000,750000000,0,22500000,,86,,,2,دو,5,3,TRUE,TRUE,TRUE,TRUE,۱۴۰۰,TRUE,,package,,,shoofaj,water_cooler,squat_seat,,,south,,,,stone,,,,,,,,35.73941422,51.5251503,500
28,53,residential-rent,apartment-rent,tehran,tehran-kerman,6/1/2024 0:00,,این واحد در طبقه همکف یک ساختمان دوطبقه واقع شده که حیاط در دسترس دارد و انباری ۴۰ متری در زیر زمین دارد بازسازی کامل شده و هال و پذیرایی جداگانه و یک اتاق خواب دارد ساختمان جنوبی و پارکینگ ندارد,اپارتمان ۸۰ متری بازسازی کامل یکخواب,مقطوع,10000000,,,,,مقطوع,250000000,FALSE,FALSE,250000000,,10000000,,,80,,,0,یک,2,1,,FALSE,TRUE,FALSE,۱۳۷۵,TRUE,,,,,,water_cooler,,,,south,,,,ceramic,,,,,,,,35.72946548,51.46846008,
30,55,residential-rent,apartment-rent,tehran,abouzar,6/1/2024 0:00,مشاور املاک,"✅پارکینگ
✅انباری
✅بالکن
✅آسانسور
✅دو خوابه
✅کابینت MDF
✅حمام مستر
✅سرویس ایرانی و فرنگی 
✅هود و گاز صفحه ای
✅کفپوش سرامیک 
✅نورگیر عالی 
✅بازدید مساوی قرارداد
✅محیطی آرام با دسترسی فوق العاده
✅لطفا جهت اطلاعات بیشتر تماس بگیرید جسارتا پاسخ کامل به پیامک ها مقدور نمیباشد.

♦️مشاور شما در امور ملکی ابوطالبی♦️",آپارتمان ۸۵ متری نبرد جنوبی نصر,مقطوع,15000000,,rent_credit,,,مقطوع,300000000,FALSE,FALSE,300000000,,15000000,,,85,,,5,دو,5,4,TRUE,TRUE,TRUE,TRUE,۱۳۹۶,,,package,,,shoofaj,water_cooler,squat_seat,,,north,,,,ceramic,,,,,,,,35.65723801,51.47232437,500
31,57,residential-sell,apartment-sell,tehran,ekhtiyariyeh,12/1/2024 0:00,,"خوش نقشه 
نورگیر عالی

پارکینگ آسانسور انباری بالکن 

مشاعات تمیز 

بهترین فرعی ها 
دسترسی خوب 

معرفی موارد مشابه۳ خواب

شادمهرم مشاورتون",منظریه ۱۵۰متر ۳خ,,,,,مقطوع,23000000000,,,,,,,,,,150,single_page,,1,سه,5,2,TRUE,TRUE,TRUE,TRUE,۱۳۸۳,FALSE,,,,,,,squat_seat,,,north,,,,stone,,,,,,,,35.78500366,51.45465851,
33,59,residential-sell,apartment-sell,tehran,fallah,6/1/2024 0:00,,"☆هوالرزاق☆
باسلام و درود بیکران
♦️سند آزاد تک برگ قابلیت دریافت وام
♦️طبقه اول ۹۷ متری، دو خواب
♦️موقعیت واحد جنوبی کم واحد
♦️نما سنگ
♦️کلا ۱۰ واحده پنج طبقه ۲ واحدی
♦️آسانسوردار
♦️پارکینگ سندی غیر مزاحم
♦️آشپزخانه بزرگ دارای کابینتهای ممبران فراوان
♦️کمد دیواریهای بزرگ
♦️هر دو خواب تخت خور
♦️گاز رو میزی هود لمسی
♦️دارای تراس
♦️کف سرامیک
♦️سیستم سرمایشی کولر آبی
♦️گرمایشی پکیج
♦️کاغذ دیواری شده مرتب
♦️قابلیت رهن به مبلغ ۷۰۰ میلیون
♦️با یک خط تلفن ثابت
♦️۲۵۰ میلیون پارکینگ سندی طبق عرف
♦️تا برج ۶/۱۴۰۴ دست مستاجره با ۱۰۰ ودیعه ۱۳ کرایه
♦️دسترسی عالی به مترو و کلیه اماکن رفاهی
مدارک آماده انتقال سند در دفترخانه

خودم مالک هستم، بدون واسطه **********
فروشنده صد در صد واقعی 
ممنونم از برنامه خوب دیوار",آپارتمان۹۷ متری۲ خواب مقدم*شهسوار شمالی*,,,,,مقطوع,4580000000,,,,,,,,,,97,single_page,,1,دو,5,2,TRUE,TRUE,FALSE,TRUE,۱۳۹۴,FALSE,,package,,,shoofaj,water_cooler,squat,,,south,,,,ceramic,,,,,,,,35.657444,51.37277603,
