Column1,Unnamed: 0,cat2_slug,cat3_slug,city_slug,neighborhood_slug,created_at_month,user_type,description,title,rent_mode,rent_value,rent_to_single,rent_type,price_mode,price_value,credit_mode,credit_value,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,land_size,building_size,deed_type,has_business_deed,floor,rooms_count,total_floors_count,unit_per_floor,has_balcony,has_elevator,has_warehouse,has_parking,construction_year,is_rebuilt,has_water,has_warm_water_provider,has_electricity,has_gas,has_heating_system,has_cooling_system,has_restroom,has_security_guard,has_barbecue,building_direction,has_pool,has_jacuzzi,has_sauna,floor_material,property_type,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,location_latitude,location_longitude,location_radius
1303,2014,residential-rent,apartment-rent,tehran,north-karegar,10/1/2024 0:00,,"✅۲پارکینگه
✅۲بالکنه
✅۱۰متر انباری
✅تکواحدی
✅بازسازی شده
✅دسترسی عالی به مترو
✅محله دنج و امن
✅نور فوق‌العاده 
✅خوش نقشه
✅سالن پرده خور
✅ویو ابدی 
✅بدون مشرف
.
مشاور شما:                 ((مهران))************
.
                  ((املاک بزرگ پلاک فاطمی))",آپارتمان ۱۰۸متری ۲خواب امیرآباد کارگر,مقطوع,20000000,,,,,مقطوع,500000000,FALSE,TRUE,500000000,800000000,20000000,11000000,,108,,,2,دو,4,1,TRUE,FALSE,TRUE,TRUE,۱۳۸۸,TRUE,,package,,,shoofaj,water_cooler,squat_seat,,,south,,,,laminate_parquet,,,,,,,,35.716259,51.38759613,500
1306,2018,commercial-rent,office-rent,tehran,saadat-abad,7/1/2024 0:00,مشاور املاک,سعادت آباد کاج بر اصلی تابلو خور سند اداری باامکانات کامل واحد رو به خ اصلی فلت دارای ۳پارکینگ  ساختمان فوق العاده شیک هر طبقه ۲واحد و دارای نگهبان و سرایدار مقیم,سعادت آباد کاج بر اصلی ۳۰۰متر سنداداری فلت۳پارکینگ,مقطوع,100000,,rent_credit,,,مجانی,0,FALSE,FALSE,0,,100000,,,300,,,4,بدون اتاق,,,,TRUE,FALSE,TRUE,۱۴۰۱,,,,,,,,,,,,,,,,,,,,,,,35.78246689,51.37730789,500
1312,2026,residential-sell,house-villa-sell,tehran,shahrak-e-gharb,8/1/2024 0:00,مشاور املاک,"سلام 

پیشنهاد ویژه خرید ویلای نوساز 
فول متریال 
۹پارکینگ 
فول مشاعات آبی 
مالک فروشنده 
دوبلکس کلاسیک 
موارد مشابه کلاسیک و حتی مدرن موجود میباشد 
با ما در تماس بگیرید مشاورین مسکن آبی 
من یارلو هستم",۱۱۰۰ ویلا متر نوساز فاز اصلی,,,,,مقطوع,350000000000,,,,,,,,,650,1100,,,,چهار,,,TRUE,,TRUE,TRUE,۱۴۰۰,,,,,,,,,,,,,,,,,,,,,,,35.75330353,51.37453842,500
1335,2058,commercial-rent,office-rent,tehran,tarasht,5/1/2024 0:00,شخصی,اجاره لاین های ناخن و مژه و رنگ و مش در طرشت شمالی,اجاره صندلی در آرایشگاه,مقطوع,111111,,rent_credit,,,مقطوع,1111111,FALSE,FALSE,1111111,,111111,,,40,,,2,دو,,,,FALSE,FALSE,FALSE,۱۳۹۹,,,,,,,,,,,,,,,,,,,,,,,35.71031189,51.34577942,500
1337,2060,residential-sell,apartment-sell,tehran,sabalan,7/1/2024 0:00,مشاور املاک,"املاک بزرگ سیدخندان

✅ ۱۱۴ متر اپارتمان ۲ خواب نگین سبلان جنوبی
✅ ۵طبقه ۴ واحدی 
✅ طبقه سوم سندی
✅ پارکینگ
✅ اسانسور
✅ انباری
✅ بالکن کاربردی
✅ ارزنده ترین فایل سکونت و سرمایه گذاری
✅ خارج از محدوده طرح الودگی هوا
✅ زیر قیمت کارشناسی
✅ مالک فروشنده ۱۰۰٪

☎️ مشاور شما : مهیار
 ***********",آپارتمان ۱۱۴ متر ۲ خواب فول ( مترو سبلان ),,,,,مقطوع,7300000000,,,,,,,,,,114,,,3,دو,,,,TRUE,TRUE,TRUE,۱۴۰۲,,,,,,,,,,,,,,,,,,,,,,,35.71857452,51.46429443,500
1339,2062,residential-sell,apartment-sell,tehran,amaniyeh,11/1/2024 0:00,,"آپارتمان در شمال جردن ۱۴۸/۳۵ متر سه خواب 
طبقه پنجم 
مشاعات بسیار تمیز ولابی 
پنج طبقه چهار واحدی بسیار خوش نقشه رو به خیابان 
پارکینگ انباری آسانسور بالکن 
سند تک برگ 
تخفیف پای قرارداد
سمیرا پورفرید مسکن ملت",جردن ناهید ۱۴۸ متر سه خواب,,,,,مقطوع,22000000000,,,,,,,,,,148,single_page,,5,سه,5,4,TRUE,TRUE,TRUE,TRUE,۱۳۹۰,TRUE,,powerhouse,,,fan_coil,fan_coil,squat_seat,,,south,,,,stone,,,,,,,,35.77757263,51.42338562,
1341,2065,temporary-rent,suite-apartment,tehran,poonak,8/1/2024 0:00,,"با سلام....
امکان اجاره بصورت کوتاه مدت و بلند مدت✅️
اجاره مستقیم از مالک بدون واسطه✅️
پاسخگویی و تحویل واحد بصورت 24ساعته✅️
سرویس ایرانی و فرنگی،ماشین لباسشویی✅️
نزدیک بیمارستان های فرهیختگان،امید،عرفان،بهمن،لاله،پیامبران،مدرس،رجایی،نور، آتیه،پارسیان، و...✅️✅️
نزدیک نمایشگاه بین‌المللی سئول✅️
بدون نیاز به بیعانه✅️
پس از خروج هر مهمان تمامی واحد ها ضد عفونی میشود✅️
پونک،چهاردیواری،جنت آباد،میرداماد،ونک،شریعتی،جردن،قیطریه...و...",اجاره سوییت مبله در تمام مناطق تهران,,,,,,,,,,,,,,,,80,,,,سه,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,35.77723694,51.34024429,
1343,2067,residential-rent,apartment-rent,tehran,kooy-e-ferdos,7/1/2024 0:00,مشاور املاک,"⛔⏮️ زیباترین برج منطقه پلان استثنایی  


⚠️⬅️⚠️ بازدید این واحد بلاشک قرارداد در پی خواهد داشت

 ⭕ ۶۵ متر 

 ⭕ ۱ خواب 

 ✅ فول امکانات :  (( پارکینگ // آسانسور //  انباری // بالکن )) 

⚜️ لابی بسیار مجلل و مبله با جایگاه لابی من و جایگاه مهمان // تیم خدماتی تأسیساتی //  تیم حفاظتی و سرایدار مقیم 

⚜️ سالن بدنسازی Gym بانوان و‌ آقایان

⚜️ سالن بیلیارد // مهد کودک // سینما 

⚜️ سالن اجتماعات parti room // کافی شاپ 
⚜️ سیستم سرمایش و گرمایش هوشمند // سیستم برق هوشمند و برق اضطراری

◀️◀️◀️ نور و نقشه بینظیر و استثنایی سالن پرده خور  (( روبه آفتاب ویو ابدی ))

◀️◀️◀️ در اعیان نشین ترین منطقه ((بلوار فردوس ))

◀️◀️◀️ دسترسی آسان به آزادراه ها و مراکز خرید و تفریحی♨",۶۵متری/الماس منطقه/کلید نخورده /فردوس,مجانی,0,,rent_credit,,,مقطوع,1100000000,FALSE,FALSE,1100000000,,0,,,65,,,3,یک,,,TRUE,TRUE,TRUE,TRUE,۱۴۰۳,,,,,,,duct_split,squat_seat,,,,,,,,,,,,,,,35.72457123,51.3176651,500
1347,2072,residential-sell,apartment-sell,tehran,zehtabi,9/1/2024 0:00,,"تک واحدی تروتمیز پذیرایی پرده خور نورگیرعالی کاغذدیواری شده کمددیواری کابینت ام دی اف خوش نقشه بدون پرتی
خیابان طاهری.کوچه چمران.بن بست رغبت
لطفاً املاک تماس نگیردباتشکر",آپارتمان 64متر.دوخوابه,,,,,مقطوع,2500000000,,,,,,,,,,64,multi_page,,4,دو,4,1,TRUE,FALSE,TRUE,FALSE,۱۳۸۹,TRUE,,water_heater,,,heater,water_cooler,squat,,,north,,,,ceramic,,,,,,,,35.63999939,51.35898972,
1349,2074,residential-sell,apartment-sell,tehran,azarbaijan,9/1/2024 0:00,مشاور املاک,"هوالرزاق 

{ بشتابید پایان جست و جوی شما }
: تلفیقی از نور و نقشه : شاهکار مهندسی : 

〽️ 40 متر.          تک خواب 〽️
〽️ چهار طبقه.    تک واحدی 〽️
〽️طبقه اول.          غرق نور 〽️

****** فول امکانات *******
⚜️پارکینگ سندی غیر مزاحم ⚜️
⚜️آسانسور ـ انباری  ـ بالکن ⚜️

پارکینگ جداگانه محاسبه می شود( 250) ❗ 
قابلیت دریافت هر گونه وام مسکن 

لوکیشن - خیابان خوش نرسیده به بوستان سعدی 

کارشناس - مهندس ملکی",40 متر  فول امکانات/ بوستان سعدی/ عروسک,,,,,مقطوع,3250000000,,,,,,,,,,40,single_page,,1,یک,4,2,TRUE,TRUE,TRUE,TRUE,۱۳۹۵,,,package,,,shoofaj,water_cooler,squat,,,,,,,ceramic,,,,,,,,35.6973877,51.37226105,500
