,id,cat2_slug,cat3_slug,city_slug,neighborhood_slug,created_at_month,user_type,description,title,rent_mode,rent_value,rent_to_single,rent_type,price_mode,price_value,credit_mode,credit_value,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,land_size,building_size,deed_type,has_business_deed,floor,rooms_count,total_floors_count,unit_per_floor,has_balcony,has_elevator,has_warehouse,has_parking,construction_year,is_rebuilt,has_water,has_warm_water_provider,has_electricity,has_gas,has_heating_system,has_cooling_system,has_restroom,has_security_guard,has_barbecue,building_direction,has_pool,has_jacuzzi,has_sauna,floor_material,property_type,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,location_latitude,location_longitude,location_radius,jalali_date,jalali_year,jalali_month,jalali_day,season,adjust_rent,is_suspect,fake_rent,fake_credit,rent_per_sqm,rent_credit_ratio,location,total_cost,region,building_age,cost_per_sqm,rooms_count_num
17271,10068,residential-rent,apartment-rent,tehran,niloufar,9/1/2024,,"✅آپارتمان ۱۰۲ متر دو خوابه غرق نور
✅سهروردی شمالی ......
✅پارکینگ ......
✅انباری ........
✅دو خواب بزرگ ....
✅دسترسی عالی ......
✅لوکیشن عالی ......
✅آماده تخلیه ........
⬅️مشاور شما با افتخار ...... صالحی",آپارتمان/۱۰۲ متر/دوخوابه/سهرودی,مقطوع,20000000,,,,,مقطوع,500000000,False,False,500000000,,20000000,,,102,,,3.0,دو,,2.0,False,False,1,1,1382,True,,powerhouse,,,shoofaj,water_cooler,squat_seat,,,south,,,,ceramic,,,,,,,,35.73466873,51.43913269,,1403-06-11,1403,6,11,summer,20000000,False,False,False,196078.4314,0.04,1,43333333.33,7,21,424836.6013,2
19143,40297,residential-rent,apartment-rent,tehran,bagh-feyz,6/1/2024,مشاور املاک,"##### فوری ##### فوری ##### فوری #####

آپارتمان ۹۵ متری 

دو خواب          غرق نور

کابینت های گلس

بهترین لوکیشن منطقه

دارای پارکینگ و انباری و آسانسور و بالکن

قابلیت تمدید چند ساله

دسترسی فوری به اتوبان های اصلی

دسترسی سریع به مراکز خرید

دیدن فایل های مشابه را با ما تجربه کنید

                مشاور شما قلی زاده
                     مسکن امین",۹۵م ۲خ فول خوش نقشه تاپ لوکیشن,مقطوع,7000000,,rent_credit,,,مقطوع,1000000000,True,True,1000000000,500000000.0,7000000,22000000.0,,95,,,5.0,دو,5.0,2.0,True,True,1,1,1395,True,,package,,,shoofaj,water_cooler,squat,,,south,,,,ceramic,,,,,,,,35.75130844,51.31880569,500.0,1403-03-12,1403,3,12,spring,7000000,False,False,False,73684.21053,0.007,1,83916666.67,5,8,883333.3334,2
963,26223,residential-rent,apartment-rent,tehran,shemiran-no,7/1/2024,مشاور املاک,آپارتمان فوق با دسترسی به همه امکانات,۵۰متر یکخوابه ومستقل,مقطوع,7500000,,rent_credit,,,مقطوع,50000000,False,False,50000000,,7500000,,,50,,,1.0,یک,4.0,1.0,False,False,0,0,1395,,,powerhouse,,,shoofaj,water_cooler,squat_seat,,,north,,,,ceramic,,,,,,,,35.7530632,51.50407791,500.0,1403-04-11,1403,4,11,summer,7500000,False,False,False,150000.0,0.15,1,4791666.667,4,8,95833.33334,1
14305,15831,residential-rent,apartment-rent,tehran,soleymani,8/1/2024,,"55متر
تکخواب
تخلیه 
انباری

املاک هستم",65متر دوخواب تخلیه,مقطوع,6000000,,,,,مقطوع,260000000,False,False,260000000,,6000000,,,55,,,3.0,یک,,,,True,1,0,1392,False,,,,,,,,,,,,,,,,,,,,,,35.67343521,51.36417389,,1403-05-11,1403,5,11,summer,6000000,False,False,False,109090.9091,0.023076923,1,22166666.67,10,11,403030.3031,1
423,37286,residential-rent,apartment-rent,tehran,abouzar,12/1/2024,,"اپارتمان
 نبرد نصر
۹۰ متر
کف سرامیک
پکیج
آیفون تصویری
پارکینگ
آسانسور
انباری
سرویس ایرانی_فرنگی",اپارتمان نصر نبرد,مقطوع,8000000,,,,,مقطوع,800000000,False,False,800000000,,8000000,,,90,,,5.0,دو,,,,True,1,1,1393,True,,package,,,shoofaj,water_cooler,squat_seat,,,,,,,ceramic,,,,,,,,35.65594101,51.47216034,,1403-09-11,1403,9,11,autumn,8000000,False,False,False,88888.88889,0.01,1,67333333.33,15,10,748148.1481,2
1202,3191,residential-rent,apartment-rent,tehran,dr-hoshyar,12/1/2024,,"واحد ۷۶ متر 
دو خواب
فول امکانات
تک واحدی
سالن پرده خور و مربع قابل چیدمان مبلمان
پکیج و شوفاژ
خوش نقشه
اتاق ها تخت خور و دارای نور گیر 
سرویس ایرانی و فرنگی
کابینت و گاز رو میزی و هود ....
گذر عالی 
واحد تخلیه آماده بازدید می‌باشد
لوکیشن: منطقه ۹ / هاشمی بین ۲۱ متری جی و استاد معین
.
به علت رعایت حریم شخصی مالک از گزاشتن عکس واقعی ملک معذوریم.",۷۶ متر / دو خواب / فول امکانات / استاد معین,مقطوع,12000000,,,,,مقطوع,300000000,False,False,300000000,,12000000,,,76,,,1.0,دو,4.0,1.0,True,True,1,1,1396,True,,package,,,shoofaj,water_cooler,squat_seat,,,north,,,,ceramic,,,,,,,,35.68885422,51.34873199,500.0,1403-09-11,1403,9,11,autumn,12000000,False,False,False,157894.7368,0.04,1,26000000.0,9,7,342105.2632,2
9246,9762,residential-rent,apartment-rent,tehran,darrous,10/1/2024,,"✅️آپارتمان اجاره ✅️

✅️تاپ لوکیشن 
✅️یکی از دنج ترین کوچه ها دروس
✅️۲ خواب استاندارد 
✅️بالکن کاربردی 
✅️سرویس ایرانی فرنگی
✅️سالن قابل چیدمان 
✅️سرویس آشپزخانه نیم فرنیش 
✅️حیاط مشجر
✅️سریدارمقیم 
✅️۲ پارکینگ 
✅️انباری/ آسانسور /
✅️عکس مربوط به خود واحد است

✅️مشاور آرمان✅️

✅️تماس ۱۰صبح تا ۱۲شب✅️",آپارتمان ۱۳۷ متر۲خواب (دروس احتشامیه),مقطوع,55000000,,,,,مقطوع,500000000,False,True,500000000,2800000000.0,55000000,0.0,,137,,,2.0,دو,,,True,True,1,1,1390,True,,,,,,,squat_seat,,,,,,,,,,,,,,,35.77046204,51.45582962,500.0,1403-07-10,1403,7,10,autumn,55000000,False,False,False,401459.854,0.11,1,46250000.0,3,13,337591.2409,2
3860,35533,residential-rent,apartment-rent,tehran,hashemi,7/1/2024,,"«««املاک آریانا »»
«متن کامل مطالعه کنید »

۵۵متر
تکخواب
پنج طبقه سه واحدی
طبقه دوم
آسانسور
پارکینگ غیر مزاحم
انباری
سن ساختمان ۶سال
فول امکانات
آدرس :یادگار امام خمینی
۳۰۰میلیون پیش
۱۰میلیون اجاره
غیر قابل تبدیل
غیرقابل تبدیل
اگر توانایی پرداخت اجاره و پیش را دارید تماس بگیرید درخدمتم
۱۴۰۳/۰۵/۹تاریخ تخلیه ملک می‌باشد

سوال نکنید ریالی تبدیل ندارد


املاک آریانا",۵۵متر فول امکانات امام خمینی بین جیحون و یادگار,مقطوع,10000000,,,,,مقطوع,300000000,False,False,300000000,,10000000,,,55,,,2.0,یک,5.0,3.0,True,True,1,1,1397,False,,,,,,,,,,,,,,ceramic,,,,,,,,35.68663025,51.36055756,,1403-04-11,1403,4,11,summer,10000000,False,False,False,181818.1818,0.033333333,1,25833333.33,10,6,469696.9696,1
14526,25400,residential-rent,apartment-rent,tehran,sabalan,10/1/2024,,"پارکینگ موتور دارد.
نورگیر عالی.
کابینت ام دی اف.
کمد دیواری.
پنجره دوجداره.
برای مستاجر جای تخفیف هم در اجاره خونه داریم. 
ساعت تماس از ساعت ۹صبح تا ۸شب شنبه تا پنج شنبه.
شماره تماس ***********",آپارتمان ۶۰متر دوخوابه,مقطوع,12000000,,,,,مقطوع,100000000,False,False,100000000,,12000000,,,60,,,2.0,دو,4.0,1.0,False,False,1,0,1392,False,,package,,,split,water_cooler,squat,,,south,,,,ceramic,,,,,,,,35.72574615,51.46268845,,1403-07-10,1403,7,10,autumn,12000000,False,False,False,200000.0,0.12,1,9333333.333,8,11,155555.5556,2
8442,40624,residential-rent,apartment-rent,tehran,vanak,10/1/2024,,"⭐  فول فرنیش  ⭐ 

» غرق در نور مستقیم
» سالن بزرگ و چهارگوش
» نقشه بینظیر و خاص
» آشپزخانه شیک و تمیز
» لوازم تکمیل تا قاشق و چنگال
» در بهترین فرعی ونک
» دسترسی سریع به میدان ونک
» دسترسی عالی به تمام معابر
و... 


.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 


با افتخار پاسخگوی شما از ۸ صبح تا ۱۲ شب هستم
حتی ایام تعطیل


کارشناس تخصصی منطقه
پارسا",۱۵۰متر۳خواب فول مبله /ملاصدرا میدان ونک,مقطوع,50000000,,,,,مقطوع,900000000,False,False,900000000,,50000000,,,150,,,3.0,سه,5.0,,,True,0,1,1390,False,,,,,,,,,,,,,,,,,,,,,,35.75746536,51.40934753,,1403-07-10,1403,7,10,autumn,50000000,False,False,False,333333.3333,0.055555556,1,79166666.67,3,13,527777.7778,3
